dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl,title,text
5.723846506,2127.48,886.33,53.61,2092.5,43252,774634.2,1.375329997,1.445317702,0.669489532,65.61,0.39781071,4.793308128,0.11193926,-2.475989228,24902,0.050918849,-1.776864943
5.015755497,1491.5,541.02,84.35,447.1,82682,3715074.5,1.644771484,2.192915306,0.464142738,89.3,0.20731731,4.853591544,1.2935356,-2.876960802,38550,0,-6.82986874
5.403307814,1374.6,511.1,78.3,791.8,86450,4047800.2,1.650068074,2.259113759,0.579054203,89.6,0.20756159,4.886733577,1.1777498,-2.871442488,42173.6,-0.002418923,-5.311503928
5.47867867,1404.49,532.15,102.31,595.5,81664,4492192,1.642489482,2.330462871,0.648008591,89.3,0.2089063,4.910741291,1.1337648,-2.878325842,45965.8,0.007235096,-4.179608376
5.628016719,1464.79,568.76,204.8,778.76,100006,4742443.3,1.833385093,2.390467757,0.780516827,88.53,0.24644545,4.865146987,1.0406706,-2.887683108,49867.2,0.004404618,-3.655941242
5.642686909,1595.66,635.71,263.21,509.97,119937,4900778,1.800131393,2.496250399,0.905824148,89,0.24553838,4.870913351,0.96403736,-2.897496795,54305.3,0.019879912,-2.97245856
5.819043815,1810.2,681.33,240.56,693.79,131740,5399952.8,1.768899578,2.591433984,0.893934687,89.1,0.24638862,4.915591745,0.9765177,-2.900988509,58988,0.018468077,-2.536572641
5.934179655,1871.82,772.92,147.45,1436.34,150233,5548768.1,1.783079894,2.679424364,0.902463576,89.13,0.2555561,5.034156489,0.94759463,-2.878850017,64182.7,0.037035474,-2.110490614
6.016839853,2028.61,890.15,138.88,2240.4,173586,5906504,1.718044968,2.72980517,0.99920071,89.22,0.21436801,5.106309044,0.89692527,-2.848865958,69441.6,0.048621579,-1.943042932
6.068263538,2322.04,918.96,140.69,2824.19,210293,6350087,1.826898659,2.752405147,1.025188185,89.3,0.2093536,5.147436336,0.89797761,-2.811739564,72232.4,0.050918849,-1.776864943
4.804266916,2892.37,1350.72,52.24,914.6,472656,10803107,0.920840247,1.895109365,-0.15253249,63.01,0.13000188,4.549657476,0.64411257,-2.394567649,22432,0,-6.82986874
5.198386528,3063.2,1431.35,64.86,1402.8,504500,12395745,0.941585895,1.984688319,-0.085806285,64.39,0.13051097,4.605470141,0.57477053,-2.414987758,24775.5,-0.002418923,-5.311503928
5.318904,3503.32,1523.35,83.64,1321.3,421907,13765378,0.956688829,2.063200873,-0.028569242,65.7,0.13016852,4.618974467,0.53397611,-2.388262825,27172.8,0.007235096,-4.179608376
5.497209208,4697.26,2346.32,130.3,1800.47,428337,15065065,1.009937638,2.150263523,0.016640771,67.49,0.13816429,4.607267984,0.4768684,-2.361217845,29538.8,0.004404618,-3.655941242
5.53634953,5676.85,2685.24,173.24,1206.6,512429,16575418,1.038105806,2.226329555,0.088120761,68.93,0.12898542,4.629862799,0.43734456,-2.333852916,32070.1,0.019879912,-2.97245856
5.696052677,6531.73,3106.15,161.61,2066.5,514402,18338832,1.022723445,2.324361947,0.087470438,70.18,0.12368766,4.697658205,0.46451905,-2.301472922,35024.1,0.018468077,-2.536572641
5.811200871,7131.47,3351.87,188.35,4814.66,600306,20245195,1.04023975,2.402498299,0.108046904,71.19,0.1258961,4.801148069,0.47135456,-2.256676295,38095.8,0.037035474,-2.110490614
5.891450823,7248.96,3585.74,242.54,7545.4,594249,22061581,1.076231599,2.456593763,0.155986137,72.47,0.12620052,4.836043783,0.44018412,-2.219660683,41399.7,0.048621579,-1.943042932
5.944399145,7224.86,3756.83,206.74,9188.72,719452,23816885,1.18080539,2.495953739,0.183837074,73.44,0.13319396,4.760291823,0.43166278,-2.188025318,43390.3,0.050918849,-1.776864943
4.986001013,2250.42,1152.64,343,809.9,249373,5886071.2,1.292035191,1.809877672,-0.079959211,62.91,0.12005886,4.769836808,0.57355902,-2.27636099,27020,0,-6.82986874
5.32675904,2447.4,1242.7,69.1,1283.5,294014,6843562,1.303824103,1.873416258,-0.039857876,63.94,0.12528863,4.856862321,0.55701859,-2.296681046,29775,-0.002418923,-5.311503928
